登録日,表示/非表示フラグ,各物件トップ表示順位,物件名,TOP物件コメント,物件URL,物件サムネイル画像,エリア,所在地,利用可能路線1,利用可能路線2,利用可能路線3,利用可能路線4,メリットコピー,予定価格の下限,予定価格の上限,販売価格の下限,販売価格の上限,専有面積 下限,専有面積 上限,資料請求URL,エリア毎の並び順,間取り(下限値),間取り(上限値),NEW,駅5分,ファミリーにおすすめ,SINGLE・DINKS,現地内覧可,モデルルーム公開中
2013/8/9,表示,palace1,パレステージ大宮大和田,11月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/omiyaowada/,http://www.nisshinfudosan.co.jp/img/thumb/h25/omiyaowada_icon.gif,埼玉,埼玉県さいたま市見沼区大和田町一丁目,東武野田線「大和田」駅より徒歩3分,なし,なし,なし,「大宮」駅まで3駅6分。通勤や買い物に便利なアクセス,未定,未定,未定,未定,50.08㎡,87.51㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/omiyaowada,,2LDK,4LDK＋N,,,,,,
2013/8/8,表示,palace2,パレステージ舎人公園,10月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/tonerikoen/,http://www.nisshinfudosan.co.jp/img/thumb/h25/tonerikoen_icon.gif,東京23区,東京都足立区皿沼二丁目2番,日暮里・舎人ライナー「谷在家」駅より徒歩4分,日暮里・舎人ライナー「舎人公園」駅より徒歩7分,なし,なし,豊かな緑と水、スポーツ施設も充実した都立舎人公園まで徒歩4分,未定,未定,未定,未定,54.46㎡,72.47㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tonerikoen,2,2LDK,4LDK,非表示,表示,非表示,表示,非表示,表示
2013/8/8,表示,palace3,パレステージ溝の口,9月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/mizonokuchi/,http://www.nisshinfudosan.co.jp/img/thumb/h25/mizonokuchi_icon.gif,神奈川,神奈川県川崎市高津区久本二丁目11番,東急田園都市線・大井町線「溝の口」駅より徒歩10分,JR南武線「武蔵溝ノ口」駅より徒歩10分,東急田園都市線「梶ヶ谷」駅より徒歩9分,なし,「溝の口」駅より徒歩10分。「渋谷」駅まで13分の快適アクセス,3630,4930,3630,4930,65.40㎡,75.67㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/mizonokuchi,,2LDK＋S,4LDK,,,,,,
2013/7/24,表示,palace4,パレステージ三鷹,8月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/mitaka/,http://www.nisshinfudosan.co.jp/img/thumb/h25/mizonokuchi_icon.gif,東京都下,東京都三鷹市下連雀三丁目4番20,JR中央線・総武線「三鷹」駅より徒歩11分,なし,なし,なし,街の賑わいと井の頭恩賜公園の潤いが調和するロケーション,3470,6160,3470,6160,46.18㎡,71.56㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/mitaka,1,1LDK,4LDK,,,,,,
2013/4/9,表示,palace5,パレステージ松戸北小金,5月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/matsudokitakogane/,http://www.nisshinfudosan.co.jp/img/thumb/h25/matsudokitakogane_icon.gif,千葉,千葉県松戸市根木内237番地の1,JR常磐線「北小金」駅より徒歩11分,なし,なし,なし,爽やかな陽光と風が息づく全戸南向きのプランニングをご用意,2740,3190,2740,3190,70.02㎡,70.49㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/matsudokitakogane,,2LDK+S,4ＬＤＫ,,,,,,
2013/3/25,表示,palace6,TOKYO TWINKLE PROJECT,4月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/machiya/,http://www.nisshinfudosan.co.jp/img/thumb/h25/machiya_icon.gif,東京23区,東京都荒川区町屋八丁目1番7、町屋七丁目1番,東京メトロ千代田線「町屋」駅より徒歩7分、11分,京成本線「町屋」駅より徒歩8分、12分,なし,なし,教育施設が10分圏内に揃い、商店街も身近な家族に嬉しい住環境,3590,4960,3590,4960,63.39㎡,83.16㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/machiya,3,2LDK+S,4ＬＤＫ,表示,非表示,表示,非表示,表示,非表示
2013/2/21,表示,palace7,パレステージ阿佐ヶ谷,4月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/asagaya,http://www.nisshinfudosan.co.jp/img/thumb/h25/asagaya_icon.gif,東京23区,東京都杉並区本天沼一丁目28番,JR中央線・総武線「阿佐ヶ谷」駅より徒歩13分,西武新宿線「鷺ノ宮」駅より徒歩14分,なし,なし,阿佐ヶ谷の賑わいと中杉通りの緑豊かな自然とが調和する住環境,5240,7790,5240,7790,67.02㎡,87.62㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/asagaya,4,3LDK,4ＬＤＫ,,,,,,
2013/2/8,表示,palace,パレステージ西所沢,5月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/nishitokorozawa/,http://www.nisshinfudosan.co.jp/img/thumb/h25/nishitokorozawa_icon.gif,埼玉,埼玉県所沢市金山町14番9,西武池袋線「西所沢」駅より徒歩6分,なし,なし,なし,「西所沢」駅徒歩6分の角地に誕生する、15階建全70邸,2820,3570,2820,3570,69.45㎡,75.99㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nishitokorozawa,,2LDK+S,4LDK,,,,,,
2013/1/31,表示,palace,パレステージ八王子,3月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/hachioji/,http://www.nisshinfudosan.co.jp/img/thumb/h25/hachioji_icon.gif,東京都下,東京都八王子市明神町二丁目3番,京王線「京王八王子」駅より徒歩7分,JR中央線「八王子」駅より徒歩12分,JR横浜線「八王子」駅より徒歩12分,JR八高線「八王子」駅より徒歩12分,2駅4路線利用可能で「新宿」「東京」へダイレクトアクセス,2910,3960,2910,3960,60.85㎡,75.03㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/hachioji,2,2LDK,4LDK,,,,,,
2013/1/10,表示,palace,パレステージ王子,2月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/oji/,http://www.nisshinfudosan.co.jp/img/thumb/h25/oji_icon.gif,東京23区,東京都北区王子二丁目2番,JR京浜東北線「王子」駅より徒歩7分,東京メトロ南北線「王子」駅より徒歩5分,都電荒川線「王子駅前」より徒歩7分,なし,「王子」駅徒歩５分、フラットで歩きやすいアプローチ。,3920,4400,3920,4400,62.37㎡,65.82㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ouji,5,3LDK,3LDK,,,,,,
2013/1/8,非表示,palace,パレステージ浅草橋,3月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/asakusabashi/,http://www.nisshinfudosan.co.jp/img/thumb/h25/asakusabashi_icon.gif,東京23区,東京都台東区鳥越二丁目9番,JR総武線「浅草橋」駅より徒歩8分,都営浅草線「蔵前」駅より徒歩7分,都営大江戸線「新御徒町」駅より徒歩8分,都営浅草線「浅草橋」駅より徒歩9分,3駅4路線利用可。都内各所へ軽快にアクセス。,4040,5020,4040,5020,55.20㎡,65.78㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/asakusabashi,6,2LDK,3LDK,,,,,,
